ID,Creator/Property,youtube 2023-05 Views,youtube 2023-05 Views Growth,facebook 2023-05 Views,facebook 2023-05 Views Growth,instagram 2023-05 Views,instagram 2023-05 Views Growth,tiktok 2023-05 Views,tiktok 2023-05 Views Growth,twitter 2023-05 Views,twitter 2023-05 Views Growth,youtube 2023-05 V30,facebook 2023-05 V30,instagram 2023-05 V30,tiktok 2023-05 V30,youtube 2023-05 Engagements,facebook 2023-05 Engagements,instagram 2023-05 Engagements,twitter 2023-05 Engagements,tiktok 2023-05 Engagements,youtube 2023-05 E30,facebook 2023-05 E30,instagram 2023-05 E30,tiktok 2023-05 E30,youtube 2023-05 ER30,facebook 2023-05 ER30,instagram 2023-05 ER30,tiktok 2023-05 ER30,youtube 2023-05 Followers,youtube 2023-05 Followers Growth,facebook 2023-05 Followers,facebook 2023-05 Followers Growth,instagram 2023-05 Followers,instagram 2023-05 Followers Growth,twitter 2023-05 Followers,twitter 2023-05 Followers Growth,twitch 2023-05 Followers,twitch 2023-05 Followers Growth,tiktok 2023-05 Followers,tiktok 2023-05 Followers Growth,Creator/Property Type,2022-10 - 2023-04 Relevance Score,2022-10 - 2023-04 Viewing Affinity,2022-10 - 2023-04 Audience Overlap,2022-10 - 2023-04 Market Share
vDidGRbp6C,Christopher Grant,11095.0,1.152696934419868,,,,,,,,,1082.0,,,,818.0,,,,,115.0,,,,5.9139,,,,450.0,0.21621621621621623,,,,,,,,,,,influencer,65.35694896812244,90.08269736092981,0.0037327607564621355,0.7255216693418941
ixYVFBrFEi,Milk Makeup,93881.0,-0.20178720220381927,100.0,-0.23076923076923078,,,7029806.0,-0.33052750269867714,18.0,-0.1,2560.0,,,355343.0,1500.0,304.0,131844.0,0.0,213704.0,63.0,,3343.0,18791.0,1.3503,,,1.041,0.0,-1.0,578.0,0.024822695035460994,-923.0,-1.7389911929543636,29.0,-0.8473684210526315,,,11200.0,-0.3978494623655914,brand,53.50002453197131,81.5027921933337,0.0029977702535304318,0.6564195298372514
J4kXSSCUbm,EverydayFBA,15479.0,-0.23344723419006586,,,,,0.0,,,,2579.0,,,,441.0,,2.0,,0.0,59.0,,,,1.2873,,,,400.0,0.0,,,5.0,,,,,,0.0,,influencer,52.91971125893633,81.05955772202152,0.0031216450573953256,0.6528497409326425
4X2aqXhcqq03XbHdj01,Flips4Miles,189669.0,0.07466060784624799,,,,,,,,,2734.0,,,,10676.0,,,,,136.0,,,,2.7617000000000003,,,,2500.0,0.3888888888888889,,,,,,,,,,,influencer,50.85702384672558,79.46409976050872,0.003303328103063837,0.64
2mhciMxgZ03UKm1T01,Jones Road Beauty,1145830.0,-0.33541091735020456,7393.0,-0.12674226317032838,,,113038.0,2.5982174120643005,33.0,-0.936046511627907,71784.0,,,3632.0,1969.0,89.0,45455.0,4.0,3230.0,173.0,,1843.0,124.0,0.1342,,,0.677,1200.0,0.2,1298.0,0.26881720430107525,9190.0,0.06095589933040868,48.0,0.0,,,700.0,1.3333333333333333,brand,50.72289281063294,79.35924070372302,0.002750020645800644,0.6391554702495201
ix3glvCskc,Kole Imports & Closeouts,379.0,-0.2955390334572491,1230.0,0.793002915451895,,,,,,,,,,,3.0,5.0,,,,,,,,,,,,0.0,,418.0,0.7637130801687764,,,-6.0,,,,,,brand,48.229269115235496,77.38393983441323,0.002568337600132133,0.6232464929859719
2tcst34kZ03Qk5UC01,Stylevana | K-Beauty,9143.0,0.20397682380826967,118.0,-0.09923664122137404,,,104274.0,0.024292492215204173,10.0,0.6666666666666666,,,,2929.0,46.0,4.0,8419.0,0.0,2621.0,,,2279.0,118.0,,,,0.7974,500.0,0.0,0.0,,11818.0,-0.11568392696797367,160.0,-0.030303030303030304,,,1100.0,0.1,brand,46.17209683561639,75.71558736788954,0.00687918077463044,0.609809663250366
5L33Ek5uHp03Z3sDo01,Lehaz Khan,35305.0,0.23513154212146656,,,,,,,,,2558.0,,,,2053.0,,,,,136.0,,,,2.9654,,,,1400.0,0.2727272727272727,,,,,,,,,,,influencer,42.93484201841152,73.0130400313098,0.00446775125939384,0.5880434782608696
ENJu5SlpbN,Andréa Matillano,476971.0,-0.14343258386610158,0.0,-1.0,,,206693.0,-0.46438437099959057,,,22257.0,,,19483.0,29978.0,0.0,17683.0,,8182.0,1568.0,,2256.0,963.0,3.9148,,,0.9734,0.0,-1.0,-6.0,,-74.0,-1.1141975308641976,-146.0,,,,100.0,-0.5,influencer,42.19844070860649,72.38418661695275,0.002262779750598728,0.5829787234042553
4h2Lr7nJuA03VYAih01,Fields of Profit,100413.0,0.3368614450613093,,,,,,,,,3193.0,,,,4729.0,,,,,177.0,,,,3.0944,,,,2000.0,0.1111111111111111,,,,,,,,,,,influencer,41.38457301087034,71.68276290235612,0.004963250474853415,0.5773294908741594
2K2Zi6Nqcw03VM6dL01,FastTrackFBA,31288.0,-0.047172396991198955,,,,,,,,,1089.0,,,,771.0,,,,,55.0,,,,2.8407999999999998,,,,700.0,-0.2222222222222222,,,,,,,,,,,influencer,39.90425361465435,70.38904822155767,0.005772565860104055,0.5669099756690997
gOrvh8igBZ,Miranda Mendelson,168855.0,0.24586813446270991,3.0,-0.7272727272727273,,,353100.0,-0.19496780783190765,0.0,,3087.0,,,4264.0,2109.0,54.0,5815.0,0.0,12134.0,95.0,,589.0,266.0,1.7107999999999999,,,1.2305,1100.0,0.2222222222222222,0.0,,-394.0,,-12.0,,,,533.0,-0.3050847457627119,influencer,39.71411407509263,70.22114980059631,0.002386654554463622,0.5655577299412916
1uABIOGjOU,NARS Cosmetics,84870.0,0.05571519199910438,20714.0,-0.019037696533434362,,,150044.0,0.15907949726151208,2009.0,-0.22010869565217392,1280.0,5168.0,,5874.0,868.0,666.0,63941.0,80.0,5543.0,39.0,393.0,5392.0,223.0,1.7004000000000001,2.985,,0.7504000000000001,300.0,0.5,0.0,,52984.0,-0.12180730280277792,-1325.0,,,,7600.0,-0.09523809523809523,brand,39.15892767322352,69.7285914181234,0.004781567429184904,0.5615906886517944
srZZMYV4Jj,Kackie Reviews Beauty,224157.0,-0.13458241961886525,,,,,845.0,-0.33201581027667987,0.0,-1.0,14762.0,,,,12996.0,,8233.0,0.0,21.0,1019.0,,8699.0,,3.8384,,,,300.0,-0.4,,,429.0,-0.6893555394641564,-10.0,,,,14.0,-0.5,influencer,35.69897811820081,66.57687237477965,0.002568337600132133,0.5362068965517242
GBb0PpZlfq,Risa Does Makeup,460550.0,-0.10689699306150785,,,,,197960.0,-0.23563140722435663,0.0,,28328.0,,,15417.0,36821.0,,6048.0,0.0,6801.0,2874.0,,818.0,638.0,5.6362,,,0.8150000000000001,1000.0,-0.5,,,922.0,2.3285198555956677,-3.0,,,,400.0,-0.5555555555555556,influencer,33.58395477010127,64.57455395949974,0.002138904946733834,0.5200803212851406
rAhs9XB8XS,Marlena Stell,469972.0,-0.19656176329299377,3452.0,-0.5907042921508181,,,623.0,4.417391304347826,12.0,0.0,95804.0,,,,25911.0,45.0,,1.0,31.0,7433.0,,,,4.3106,,,,10000.0,0.0,0.0,,,,-1502.0,,,,62.0,,brand,33.57358214881493,64.56458105541333,0.002147163266991494,0.52
393LqKi0N7,AMZScout,18396.0,0.049820236260914225,218.0,0.6515151515151515,,,,,,,1187.0,,,,295.0,21.0,3.0,,,27.0,,,,1.263,,,,300.0,0.0,6.0,0.5,122.0,1.975609756097561,,,,,,,brand,33.16961930402804,64.17497975984999,0.011644231563300024,0.5168621700879765
gkHZ30NTlk,"STANLEY, a brand of PMI",29220.0,-0.12046234422972729,1274.0,-0.5404040404040404,,,3016884.0,0.2799226840972507,120.0,1.1818181818181819,2910.0,,,146168.0,229.0,798.0,47528.0,1.0,212005.0,31.0,,4392.0,12415.0,0.5917,,,1.6720000000000002,100.0,0.0,0.0,-1.0,13029.0,-0.032739420935412024,89.0,0.3484848484848485,,,14300.0,-0.040268456375838924,brand,30.52183204861748,61.56030969180791,0.006342389957882567,0.49580374435119434
55gVH45Kh03PDxSJ01,Nikki Kirk,33914.0,-0.05823220682569215,,,,,,,1.0,0.0,2226.0,,,,1316.0,,1.0,0.0,,101.0,,,,2.5388,,,,500.0,-0.2857142857142857,,,-73.0,,2.0,0.0,,,,,influencer,30.376711739297253,61.41378677727488,0.0018994136592617062,0.4946236559139785
OkfS5a1giR,Vitacost.com,1187.0,0.14024975984630164,40.0,-0.5,,,,,6.0,0.5,,,,,6.0,19.0,2060.0,1.0,,,,168.0,,,,,,0.0,-1.0,-179.0,,190.0,0.9587628865979382,-136.0,,,,,,brand,29.438838941203404,60.45828668461907,0.004921958873565117,0.4869281045751634
